ISO3 Alpha-code,Year,darmani*
NIC,2016,57.79
CHN,2016,58.1
DOM,2016,58.22
LSO,2016,58.41
MNG,2016,58.88
KAZ,2016,59.62
MNE,2016,60.12
ECU,2016,60.66
PAN,2016,61.06
BHR,2016,61.37
PRT,2016,61.57
PER,2016,61.66
SUR,2016,61.91
TON,2016,61.99
ARG,2016,62.11
VCT,2016,62.54
GUY,2016,63.01
MLT,2016,63.03
ISR,2016,63.32
CPV,2016,63.56
JAM,2016,63.59
MKD,2016,63.65
FJI,2016,63.9
GAB,2016,64.7
BOL,2016,64.82
DMA,2016,65.01
NLD,2016,65.48
LTU,2016,65.76
BWA,2016,66.52
DZA,2016,67.69
HUN,2016,67.71
POL,2016,68.81
BLZ,2016,68.9
SYC,2016,69.15
URY,2016,69.53
CAN,2016,69.68
SAU,2016,69.78
NIU,2016,69.81
COL,2016,70.33
BIH,2016,70.9
BLR,2016,70.94
AUS,2016,71.1
ESP,2016,71.55
SLB,2016,71.64
PNG,2016,72.0
MDV,2016,72.06
ARE,2016,72.13
SVN,2016,72.29
AND,2016,72.36
AUT,2016,72.36
THA,2016,72.39
IRL,2016,72.72
CRI,2016,73.32
BTN,2016,73.95
ITA,2016,74.4
EST,2016,74.41
NZL,2016,74.55
FRA,2016,75.01
TUV,2016,75.32
BEL,2016,77.14
DEU,2016,77.29
FIN,2016,77.83
ROU,2016,78.18
TUR,2016,78.44
WSM,2016,78.73
SVK,2016,79.96
GBR,2016,80.87
ISL,2016,81.51
CZE,2016,81.88
QAT,2016,82.71
HRV,2016,82.76
COK,2016,82.89
JPN,2016,84.04
DNK,2016,84.18
SWE,2016,84.26
LUX,2016,84.44
KWT,2016,85.32
NOR,2016,85.38
MCO,2016,85.53
SMR,2016,87.28
KIR,2016,88.13
CUB,2016,89.61
NRU,2016,89.81
OMN,2016,89.87
BRN,2016,95.02
CMR,2015,10.12
COM,2015,10.13
YEM,2015,10.18
HTI,2015,11.05
LBR,2015,11.35
UGA,2015,15.15
ARM,2015,15.91
NGA,2015,16.45
ERI,2015,16.63
NPL,2015,16.63
COD,2015,16.68
BGD,2015,17.1
GNQ,2015,19.02
TGO,2015,19.03
NER,2015,20.79
ZWE,2015,20.82
TCD,2015,21.26
KHM,2015,21.71
BEN,2015,21.85
MMR,2015,21.99
MLI,2015,22.36
IRQ,2015,23.24
TKM,2015,23.95
SEN,2015,24.63
CIV,2015,24.98
ETH,2015,25.25
IND,2015,25.64
FSM,2015,25.79
MOZ,2015,27.03
PAK,2015,27.65
BFA,2015,28.38
MWI,2015,28.65
TJK,2015,29.61
SDN,2015,31.14
EGY,2015,31.24
GMB,2015,31.43
STP,2015,31.62
RWA,2015,31.64
AZE,2015,31.72
CHE,2015,31.82
PLW,2015,34.45
TZA,2015,34.45
VEN,2015,34.47
GHA,2015,35.08
LAO,2015,35.21
GEO,2015,35.57
PHL,2015,37.67
KNA,2015,37.83
GTM,2015,37.93
KGZ,2015,37.93
BDI,2015,38.47
MRT,2015,38.62
MAR,2015,38.83
HND,2015,39.39
IDN,2015,39.6
MDG,2015,40.02
KEN,2015,40.38
GRD,2015,41.64
MUS,2015,41.68
SWZ,2015,41.76
VNM,2015,41.81
CYP,2015,42.05
ALB,2015,42.13
NAM,2015,42.21
MHL,2015,42.23
BRA,2015,43.26
LCA,2015,43.47
LKA,2015,43.96
BHS,2015,44.38
LBN,2015,44.78
COG,2015,45.54
MDA,2015,45.54
SGP,2015,47.08
ZMB,2015,47.14
PRY,2015,47.17
BRB,2015,47.24
UKR,2015,47.34
AGO,2015,47.37
CHL,2015,48.02
VUT,2015,48.57
UZB,2015,49.78
AFG,2015,5.17
DOM,2015,50.15
IRN,2015,50.86
USA,2015,51.37
TTO,2015,51.48
MEX,2015,52.2
MYS,2015,53.2
JOR,2015,53.54
TUN,2015,53.99
SUR,2015,54.48
SLV,2015,54.91
DJI,2015,55.05
BGR,2015,55.9
NIC,2015,56.08
MNG,2015,56.93
ZAF,2015,57.08
KOR,2015,57.36
TLS,2015,57.44
ECU,2015,57.57
GRC,2015,57.67
SRB,2015,57.68
GUY,2015,58.59
LVA,2015,58.68
RUS,2015,58.72
GAB,2015,58.91
LSO,2015,59.3
ATG,2015,59.79
MNE,2015,59.81
GNB,2015,6.61
CHN,2015,60.18
NRU,2015,60.23
PAN,2015,60.77
BLR,2015,60.78
MLT,2015,60.83
PER,2015,60.88
VCT,2015,61.38
PRT,2015,61.67
TON,2015,61.81
DMA,2015,63.04
FJI,2015,63.12
KAZ,2015,63.14
JAM,2015,63.27
ISR,2015,63.42
MKD,2015,64.95
BHR,2015,65.02
NIU,2015,65.4
BOL,2015,65.74
CPV,2015,65.81
NLD,2015,66.05
LTU,2015,66.09
ARG,2015,66.71
BWA,2015,67.76
HUN,2015,67.79
BLZ,2015,68.06
URY,2015,68.4
SAU,2015,68.47
SLB,2015,69.03
BIH,2015,69.22
POL,2015,69.33
GIN,2015,7.39
DZA,2015,70.46
CAN,2015,70.66
SYC,2015,70.71
COL,2015,70.83
AUS,2015,71.04
ARE,2015,71.25
ESP,2015,71.32
SVN,2015,71.35
THA,2015,71.35
MDV,2015,71.81
IRL,2015,72.01
FRA,2015,72.27
AND,2015,72.37
AUT,2015,72.46
CRI,2015,72.71
BTN,2015,74.25
EST,2015,74.43
ITA,2015,74.44
NZL,2015,74.69
TUV,2015,74.97
PNG,2015,75.75
BEL,2015,76.69
DEU,2015,76.96
ROU,2015,77.94
TUR,2015,78.13
FIN,2015,78.56
SVK,2015,78.74
WSM,2015,79.11
SLE,2015,8.04
GBR,2015,80.38
ISL,2015,80.81
MCO,2015,80.88
CZE,2015,82.23
HRV,2015,83.1
SWE,2015,83.96
JPN,2015,84.08
DNK,2015,84.26
LUX,2015,84.51
KWT,2015,84.86
COK,2015,85.1
KIR,2015,85.22
NOR,2015,85.51
SMR,2015,85.98
QAT,2015,86.63
CAF,2015,9.05
OMN,2015,90.22
CUB,2015,90.33
BRN,2015,95.03
HTI,2014,10.36
COM,2014,10.59
ERI,2014,12.67
GIN,2014,12.77
NGA,2014,13.32
COD,2014,13.84
ARM,2014,14.79
CMR,2014,15.57
CAF,2014,15.57
VUT,2014,16.11
YEM,2014,16.18
NPL,2014,17.21
ETH,2014,17.72
UGA,2014,17.82
KHM,2014,18.5
BGD,2014,18.52
MLI,2014,19.9
TGO,2014,20.35
CIV,2014,20.84
GNQ,2014,21.48
BEN,2014,21.57
MWI,2014,22.73
IND,2014,23.66
MMR,2014,24.18
PAK,2014,24.41
SEN,2014,24.6
SDN,2014,25.27
TKM,2014,26.96
MOZ,2014,27.49
GEO,2014,27.6
FSM,2014,28.49
TCD,2014,28.54
NER,2014,28.68
EGY,2014,29.54
LAO,2014,29.75
TZA,2014,29.87
TJK,2014,31.17
RWA,2014,31.4
CHE,2014,32.1
BFA,2014,32.54
AZE,2014,33.4
IDN,2014,33.49
ZWE,2014,33.58
PHL,2014,34.11
GHA,2014,35.08
STP,2014,35.14
GMB,2014,35.79
MRT,2014,36.12
PLW,2014,36.53
IRQ,2014,37.1
KGZ,2014,37.36
KEN,2014,37.41
SWZ,2014,37.76
GTM,2014,38.01
BDI,2014,38.65
MAR,2014,38.73
MDG,2014,39.48
AFG,2014,4.96
LCA,2014,40.13
ALB,2014,40.26
HND,2014,40.34
KNA,2014,40.92
SUR,2014,41.5
VNM,2014,41.96
