Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Estimates,WORLD,,900,,,1.0,World,0,1960.0,2995589.212,3019233.434,1508544.522,1510688.911,23.153,99.858,21.461,47288.762,15.663,47288.444,1.566,44.262,102262.439,11584.565,33.871,4.695,1.6,28.63,105.3,54973.677,28803.966,26169.711,18.208,47.697,46.036,49.417,48.473,46.459,50.558,11.696,10.674,12.59,5.37,4.983,5.643,13837.096,135.084,92537.982,22514.7,217.396,354.348,364.635,343.895,518.653,553.193,483.295,216.044,239.197,192.567,351.164,395.483,305.964,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1961.0,3042877.656,3068370.609,1533166.886,1535203.724,23.53,99.867,21.448,50986.67,16.617,50985.907,1.662,41.706,100989.852,11608.613,32.914,4.574,1.63,28.522,105.3,50003.182,26232.774,23770.408,16.297,50.359,48.614,52.153,49.613,47.604,51.672,12.13,11.063,13.056,5.533,5.125,5.816,12575.446,124.24,92153.476,19708.237,193.991,320.898,330.908,310.684,481.441,515.784,446.472,199.931,220.84,178.789,327.672,369.621,285.195,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1962.0,3093863.563,3126686.743,1562522.051,1564164.691,23.977,99.895,21.371,65646.912,20.982,65646.359,2.1,33.007,112053.316,12404.759,35.814,5.03,1.872,28.732,105.4,46406.404,24371.885,22034.519,14.832,53.124,51.317,54.971,50.733,48.756,52.739,12.405,11.286,13.374,5.536,5.105,5.835,12249.068,112.864,103144.492,18038.979,170.771,285.134,294.282,275.769,441.288,474.978,407.239,182.387,200.23,164.426,303.078,342.205,263.844,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1963.0,3159509.922,3195779.247,1597443.477,1598335.771,24.507,99.944,21.204,72539.147,22.689,72538.65,2.27,30.535,119818.714,13149.185,37.477,5.317,1.99,28.818,105.4,47279.567,24835.053,22444.514,14.788,53.576,51.747,55.442,50.926,48.933,52.945,12.492,11.348,13.48,5.584,5.135,5.891,12941.917,110.14,110523.86,18710.78,166.552,279.778,288.917,270.392,435.247,468.819,401.347,180.107,197.747,162.318,299.573,338.326,260.753,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1964.0,3232048.572,3267212.338,1633558.673,1633653.665,25.055,99.994,21.008,70327.866,21.528,70327.532,2.153,32.194,117393.293,13123.838,35.936,5.133,1.936,28.767,105.4,47065.427,24735.934,22329.493,14.408,54.164,52.3,56.06,51.273,49.251,53.317,12.698,11.521,13.71,5.744,5.274,6.062,12785.379,108.182,108448.832,18660.306,162.524,273.543,282.694,264.119,427.27,460.671,393.571,176.37,193.856,158.698,293.908,332.189,255.598,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1965.0,3302376.104,3337111.983,1668776.95,1668335.033,25.591,100.026,20.815,69472.38,20.818,69471.758,2.082,33.292,117932.234,13390.305,35.34,5.081,1.913,28.789,105.4,48459.854,25554.451,22905.403,14.522,53.892,51.923,55.914,51.06,48.901,53.262,12.632,11.431,13.666,5.694,5.208,6.022,12762.971,108.356,108934.385,18995.893,163.387,277.19,288.316,265.647,431.685,467.316,395.443,179.724,200.103,158.926,297.947,339.087,256.424,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1966.0,3371847.862,3406417.036,1703570.404,1702846.631,26.122,100.043,20.633,69138.789,20.298,69138.347,2.03,34.145,117182.361,13670.762,34.403,4.963,1.88,28.777,105.4,48043.572,25248.589,22794.983,14.105,54.472,52.567,56.411,51.462,49.393,53.552,12.754,11.543,13.792,5.765,5.273,6.092,12525.51,106.779,108373.967,18704.558,160.131,270.022,279.546,260.165,422.595,456.319,388.537,173.258,191.23,155.007,290.216,328.774,251.595,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1967.0,3440986.209,3475448.166,1738207.396,1737240.77,26.652,100.056,20.491,68924.287,19.832,68923.913,1.983,34.954,116839.776,13782.437,33.619,4.856,1.852,28.736,105.4,47915.489,25186.786,22728.703,13.787,54.92,52.983,56.891,51.727,49.626,53.848,12.821,11.592,13.871,5.803,5.301,6.135,12296.808,104.989,108201.758,18420.777,157.257,264.165,273.902,254.077,415.732,449.811,381.299,168.478,186.801,149.845,284.993,323.823,246.077,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1968.0,3509910.122,3546810.808,1774117.118,1772693.69,27.199,100.08,20.401,73802.05,20.803,73801.371,2.081,33.308,121750.025,14476.043,34.318,4.963,1.909,28.78,105.4,47947.975,25198.51,22749.465,13.515,55.486,53.527,57.478,51.95,49.836,54.083,12.813,11.574,13.871,5.755,5.249,6.087,12256.972,101.938,113011.12,18140.868,152.314,256.167,265.977,245.993,407.022,441.261,372.419,163.521,181.851,144.856,279.587,318.341,240.741,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1969.0,3583711.493,3620655.275,1811408.83,1809246.445,27.765,100.12,20.343,73887.969,20.407,73887.564,2.041,33.961,122122.848,14867.284,33.729,4.867,1.882,28.752,105.5,48234.879,25347.52,22887.359,13.322,55.829,53.857,57.832,52.117,49.989,54.263,12.835,11.578,13.909,5.816,5.298,6.152,12235.864,100.185,113505.346,18037.184,149.543,251.386,261.098,241.317,401.853,436.072,367.257,160.115,178.381,141.484,276.092,314.736,237.33,0.0,0.0
