Time,Time Code,Country Name,Country Code,CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
2005,YR2005,Bhutan,BTN,0.121548914718526,1.69558408247321,22.511058772787,..,5.03900003433228,44.5511016845703,3.09999990463257,..,54.0352861465292,23.8096704538192,..,..,7.28714990615845,65.805,53.6346927165134,5336.77621970682,1456.48078724725,0.779343363583389,5.13090378846715,..,105.524232171015,5.31263104637752,1779,..,57.5,..,..,2.03035343996667,1499,14.5
2005,YR2005,Bolivia,BOL,0.266260371517906,..,15.9745575009633,..,..,87.0177612304688,5.44999980926514,..,14.2536216336637,17.7079662634327,..,..,..,64.386,62.886841867441,5660.57481538611,2152.36196728204,-2.49888001785796,2.62741194852624,..,67.6419413613743,5.39323106890664,-14657,..,56.2,58.5,..,1.7329882488039,..,16.6150416666667
2005,YR2005,Bosnia and Herzegovina,BIH,0.665217964896416,..,21.6563079324931,..,..,..,..,..,28.7397822003268,-14.4291185754979,..,..,..,75.42,23.9690152631789,8601.17087352443,3218.57960252699,5.55836626323298,5.12951620444926,..,84.3554628217984,..,-37107,..,8.9,..,..,-1.17913407901923,..,9.6125
2005,YR2005,Botswana,BWA,0.207312990168506,16.1749608271352,19.4007450572658,0.494,9.92901992797852,83.6109466552734,..,..,25.374133887578,42.4925145913255,262.54747,43.55359,10.6785898208618,52.61,60.3410935232149,12494.2168522251,5359.88466087454,4.24294905100869,2.69387825647406,..,88.5053520573505,8.61022528546438,4771,..,67,..,..,1.79764812587178,12559,15.7375
2005,YR2005,Brazil,BRA,0.162089493697185,25.5701603658936,18.8900014285433,..,25.9896297454834,101.2919921875,10.5500001907349,21.3500003814697,17.20488346411,20.6057467884528,34.63414,13.00607,4.47908020019531,71.753,40.6633344625269,12520.8549899008,7325.91235843215,1.73390066860406,2.05557150146443,53.2336042601455,27.0867952147935,6.86953720898965,-42926,..,24.8,56.3,..,1.11720287765336,1611582,55.3833333333333
2005,YR2005,Brunei Darussalam,BRN,0.181619936522172,0.547777120445233,18.408700104511,..,14.5606899261475,96.587532043457,..,..,11.3667044608845,59.1302372785632,..,..,..,74.731,42.9789650922039,69482.3838018272,34290.3851120903,1.83675498095092,-1.32505109993116,..,97.4576166216243,1.24443711883964,1163,..,9.5,..,..,1.72066656308508,4350,5.5
2005,YR2005,Bulgaria,BGR,0.608842299826915,2.58879838646311,18.1535666491695,..,45.3680191040039,89.2280578613281,10.0799999237061,22.3500003814697,27.7396716608631,13.0845919496763,22.47607,21.24879,4.10879993438721,72.5609756097561,20.0205362444547,14782.7384328632,5231.29820427443,13.7201913709519,7.86550164735722,17.0262534381006,99.7142112127381,5.03883807111907,-3832,..,13.3,..,..,-0.752977445493645,57253,8.66098333333333
2005,YR2005,Burkina Faso,BFA,0.0649379126874636,0.469380905212251,13.7928275192666,..,2.3073399066925,14.2987804412842,4,..,17.5635935306702,3.07511872183235,203.87723,20.79333,3.94113993644714,53.092,87.8680645633796,1477.03982209929,501.207248459817,0.848145934172085,5.29343297349088,..,34.1721697681049,6.41504018369687,9794,..,153.1,..,..,3.14899280596388,..,8.86833333333333
2005,YR2005,Burundi,BDI,0.0357596768482282,..,14.099999668941,..,2.46321988105774,12.9839296340942,..,..,18.203587685931,-4.49639311264943,242.08341,51.76177,3.632159948349,53.023,87.7251933351935,796.108713073826,294.738779574325,0.0523404229187196,-2.76488049377727,..,35.0999988412936,13.2520699188223,17913,..,124.9,..,..,3.69979693670807,7498,18.445
2005,YR2005,Cabo Verde,CPV,0.229082668161923,9.50254192996627,..,..,7.62569999694824,71.0100631713867,..,..,..,..,69.9513,..,..,72.68,64.6367404145976,4664.65925578008,2265.03466974213,8.28123000695384,5.5579027635104,..,104.343839857053,0.418891612855161,-3673,..,28.1,..,..,1.27507062329957,2241,..
